rev       총   손상
c91ddb8    35    0
ae83825    36    0
374c360    39    0
aa044ee    40    0
e6ab857    40    0
6dbb299    28   28  <<< 손상 시작
2e01d5d    40    0
ade7ef4    40    0
50cd588    43    0
f432b66    44    0
1f0927a    46    0
51a26b2    51    0
56fc643    51    0
f0d8dda    52    0
6b58f27    53    0
d743e12    56    0
d31104a    56    0
a6e0583    60    0
e325d38    64    0
c49a890    64    0
e323f23    64    0
c00da87    64    0
069bafc    64    0
328ca93    60    0
cfab8b5    60    0
820b588    60    0
6c8b5e1    60   60  <<< 손상 시작
9c9cd39    60   60
90d7574    60   60
df7bae1    60   60
7af53f0    60   60
0778a85    60   60
ed0edd3    60   60
d153fa8    58   58
6960783    58   58
e9563d7    58   58
62ef7eb    58   58
77c6409    58   58
2fe192f    58   58
bbb84e5    58   58
ed8db24    58   58
ee14167    59   58
17befcd    59   58
7ce7b82    60   58
88c0dd8    60   58
b7f57e6    61   58
0250f23    61   58
98e8332    61   58
5c88341    61   58
84c472c    61   58
25ee41e    61   58
68937ac    61   58
80b354c    61   58
8170cd3    61   58
8a625b0    61   58
c93bb4f    61   58
d375cf9    61   58
